Dataset,Model Folder,Model,Loss,Accuracy,Male Accuracy,Female Accuracy
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_5_best.pth,0.9582120306973873,30.42656135559082,26.325088339222614,35.14612452350699
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_1_unbalanced_best.pth,0.8874693309726915,34.47949981689453,24.514134275618375,45.946632782719185
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_2_unbalanced_best.pth,0.7467212495363789,54.89779281616211,97.2173144876325,6.200762388818298
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Female_Bias_FlexMatch\FlexMatch_3_unbalanced_best.pth,0.8091749997760449,53.60982894897461,99.86749116607774,0.3811944091486658
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch\FlexMatch_1_best.pth,0.5822246840669798,69.26622009277344,72.96819787985865,65.00635324015248
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch\FlexMatch_2_best.pth,0.9333881395626304,37.752567291259766,5.189929328621909,75.22236340533672
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch\FlexMatch_3_best.pth,0.8061733493128244,38.107051849365234,61.37367491166078,11.33418043202033
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch\FlexMatch_4_best.pth,0.8022954495229522,46.91007614135742,1.3471731448763251,99.33926302414231
Balanced_Validation,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch,bias_training_data\bias_Severe_East_Asian_Bias_FlexMatch\FlexMatch_5_best.pth,0.8000104590875382,47.441802978515625,6.1174911660777385,94.99364675984752
Balanced_Validation,bias_training_data\bias_Severe_Female_Gender_FlexMatch,bias_training_data\bias_Severe_Female_Gender_FlexMatch\FlexMatch_1_best.pth,0.6927263285481844,54.070655822753906,22.681095406360424,90.19059720457433
Balanced_Validation,bias_training_data\bias_Severe_Female_Gender_FlexMatch,bias_training_data\bias_Severe_Female_Gender_FlexMatch\FlexMatch_2_best.pth,0.9983433174788353,34.88124465942383,5.43286219081272,68.76747141041932
Balanced_Validation,bias_training_data\bias_Severe_Female_Gender_FlexMatch,bias_training_data\bias_Severe_Female_Gender_FlexMatch\FlexMatch_3_best.pth,0.6884081965006653,49.178775787353516,15.061837455830387,88.43710292249047
Balanced_Validation,bias_training_data\bias_Severe_Female_Gender_FlexMatch,bias_training_data\bias_Severe_Female_Gender_FlexMatch\FlexMatch_4_best.pth,0.9321114250098815,46.49651336669922,0.0,100.0
Balanced_Validation,bias_training_data\bias_Severe_Female_Gender_FlexMatch,bias_training_data\bias_Severe_Female_Gender_FlexMatch\FlexMatch_5_best.pth,0.7458867784314414,45.05494689941406,76.28091872791519,9.123252858958068
AAF_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_1_best.pth,0.9276464550317561,43.42314147949219,1.664025356576862,85.18225039619651
AAF_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_2_best.pth,0.7684518290586214,50.81220245361328,100.0,1.624405705229794
AAF_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_3_best.pth,0.8845401141798439,27.139461517333984,10.974643423137877,43.30427892234548
AAF_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_4_best.pth,0.6070650065946503,67.49208068847656,94.92868462757528,40.055467511885894
AAF_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_5_best.pth,0.7612644135479693,43.383522033691406,8.597464342313788,78.16957210776545
AAF_Validation,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch,bias_training_data\bias_Gender_Balanced_Unlabeled_FlexMatch\FlexMatch_1_unbalanced_best.pth,0.7587989051066185,48.712364196777344,87.20285261489698,10.22187004754358
